symbol;field
KLBN4F;'sector'
KMIC34;'website'
KNCA11;'sector'
KNCR11;'website'
KNHY11;'website'
KNIP11;'website'
KNOX11;'sector'
KNRE11;'website'
KNRI11;'website'
KNSC11;'website'
KRSA3F;'sector'
L1BT34;'state'
L1BT35;'state'
L1FC34;'shortName'
L1IN34;'state'
L1YG34;'sector'
LAND3F;'sector'
LASC11;'sector'
LATR11B;'website'
LAVV3F;'sector'
LEVE3F;'sector'
LFTT11;'sector'
LGCP11;'website'
LIGT3F;'sector'
LIPR3F;'sector'
LJQQ3F;'sector'
LLIS3F;'sector'
LOFT11B;'website'
LOFT13B;'website'
LOGG3F;'sector'
LOGN3F;'sector'
LPSB3F;'sector'
LREN3F;'sector'
LUGG11;'website'
LUPA3F;'sector'
LUXM4F;'sector'
LVBI11;'website'
LVTC3F;'sector'
LWSA3F;'sector'
M1BT34;'sector'
M1LC34;'sector'
M1UF34;'sector'
MALL11;'website'
MAPT4F;'sector'
MATB11;'sector'
MATD3F;'sector'
MATV11;'website'
MAXR11;'sector'
MBLY3F;'sector'
MBRF11;'website'
MCCI11;'website'
MCHF11;'sector'
MCHY11;'sector'
MDIA3F;'sector'
MDNE3F;'sector'
MDTC34;'state'
MEAL3F;'sector'
MEGA3F;'sector'
MELI34;'state'
MELK3F;'sector'
MERC3;'website'
MERC3F;'sector'
MERC4;'website'
MERC4F;'sector'
MFAI11;'sector'
MFII11;'website'
MGCR11;'website'
MGEL4F;'sector'
MGFF11;'website'
MGHT11;'website'
MGIM11;'sector'
MGLG11;'sector'
MGLU3F;'sector'
MILL11;'sector'
MILS3F;'sector'
MINT11;'sector'
MLAS3F;'sector'
MNDL3F;'sector'
MNPR3F;'sector'
MOAR3F;'sector'
MODL11F;'sector'
MODL3F;'sector'
MODL4F;'sector'
MORC11;'sector'
MORE11;'website'
MOVI3F;'sector'
MRFG3F;'sector'
MRSA3B;'sector'
MRSA3BF;'sector'
MRSA6BF;'sector'
MRVE3F;'sector'
MTIG4F;'sector'
MTRE3F;'sector'
MTSA4F;'sector'
MULT3F;'sector'
MWET3F;'sector'
MWET4F;'sector'
MXRF11;'website'
MYPK3F;'sector'
N1GG34;'sector'
N1IC34;'sector'
N1VO34;'state'
N1VS34;'state'
N1WG34;'sector'
N1XP34;'state'
NASD11;'sector'
NAVT11;'website'
NCRA11;'sector'
NEOE3F;'sector'
NETE34;'sector'
NEWL11;'website'
NEWU11;'website'
NGRD3F;'sector'
NINJ3F;'sector'
NMRH34;'sector'
NOKI34;'sector'
NORD3F;'sector'
NPAR11;'website'
NSLU11;'sector'
NTCO3F;'sector'
NUTR3F;'sector'
NVHO11;'website'
ODER4F;'sector'
ODPV3F;'sector'
OFSA3F;'sector'
OIBR3F;'sector'
OIBR4F;'sector'
ONCO3F;'sector'
ONEF11;'website'
OPCT3F;'sector'
ORPD11;'website'
ORVR3F;'sector'
OSXB3F;'sector'
OUFF11;'website'
OUJP11;'website'
5GTK11;'sector'
A1BB34;'state'
A1CR34;'state'
A1EG34;'state'
A1GN34;'state'
A1ON34;'state'
A1RG34;'state'
A1SN34;'state'
A1TH34;'state'
A1UA34;'state'
A1ZN34;'state'
AALR3F;'sector'
OULG11;'sector'
OURE11;'website'
P1DD34;'state'
P1KX34;'state'
P1NR34;'state'
P1RG34;'state'
P1UK34;'state'
PARD3F;'sector'
PATC11;'website'
PATI3F;'sector'
PATI4F;'sector'
PATL11;'sector'
PCAR3F;'sector'
PDGR3F;'sector'
PDTC3F;'sector'
PEAB3F;'sector'
PEAB4F;'sector'
PEMA11;'sector'
PETR3F;'sector'
PETR4F;'sector'
PETZ3F;'sector'
PFIN11;'sector'
PFRM3F;'sector'
PGMN3F;'sector'
PHGN34;'state'
PIBB11;'sector'
PICE11;'sector'
PINE4F;'sector'
PLAS3F;'sector'
PLCR11;'website'
PLOG11;'sector'
PLPL3F;'sector'
PLRI11;'website'
PMAM3F;'sector'
PNPR11;'sector'
PNVL3F;'sector'
POMO3F;'sector'
POMO4F;'sector'
PORD11;'website'
